County,Month,Calendar Year,CalFresh Persons,CalFresh Households,Child Only Persons,Total Issuances,Caseload Total Student Count,All Federal Persons,All CFAP Persons,Total SSI Persons in SNB Households,Total SSI  Persons in TNB Households,State Issuances,EBT_SNB_dollars,EBT_TNB_dollars,Unemployment Monthly,Active Error Rate,Negative Error Rate,Negative Error Rate on Completed Cases,Applications Approved Containing at Least One Student,Applications Denied Containing at Least One Student,Applications Pended Containing at Least One Student,New Apps with at Least Some SSI - Approved,New Apps with at Least Some SSI - Denied,Ineligible Denials - SSI,Procedural Denials - SSI,SSI Only - Ineligible Denials,SSI Only Procedural Denials,Online Apps - SSI,Non-Online Apps - SSI,Applications Received,Online Applications Received,All_GCF_apps_submit,CfA_GCF_apps_submit,CBO_GCF_apps_submit,SSA_GCF_apps_submit,Average Age of SSI Persons Newly Applying,Average Days to Dispose - SSI,Average Approved Benefit - SSI,Denial reason - CF Missed Interview,Denial Reason - FTP Income,Denial Reason - Failed to Complete Determination,Denial Reason - Ineligible,Denial Reason - Ineligible CF Student,Denial Reason - Unavailable,Denial Reason - Out of the Home,Denial Reason - Over Income,Denial Reason - Procedural,Applications Submitted via BenefitsCal,Applications Submitted via Code for America,Applications Submitted via Other Online Source,Applications Submitted via Other Source,New Applications Age  17 and Under,New Applications Age 8 to 49,New Applications Age 50 and Over,New Applications Age Total,New Applications Avg Age,New Applications - ICT Transfers,New Applications Language Armenian,New Applications Language Cambodian,New Applications Language Cantonese,New Applications Language English,New Applications Langugage Farsi,New Applications Language Korean,New Applications Language Mandarin,New Applications Language  Other,New Applications Language Russian,New Applications Language Spanish,New Applications Language Vietnamese,New Applications Language Missing,New Applications Language Total,New Applications Hispanic,New Applications White,New Application Asian,New Applications Black or African_American,New Applications More Than One Race/Ethnicity,New Applications American Indian Alaskan Native,"New Applications Native Hawaiian Pacific Islander ",New Applications Other Race/Ethnicity,New Applications Unknown Race/Ethnicity,New Applications Race/Ethnicity Total,New Applications Gender Female,New Applications Gender Male,New Applications Gender Other,New Applications Gender Declined_to_State,New Applications Gender Total,New Applications Exemptions- Employment and Training Program,New Applications Exemptions-Other Employment and Training Program,New Applications Exemptions-LPIE,New Applications Exemptions- Employed 20 Hours Week,New Applications Exemptions-Care of a Child,New Applications Exemptions- Work Study,SSI Disposed HH Language - Armenian,SSI Disposed HH Language - Cambodian,SSI Disposed HH Language - Cantonese,SSI Disposed HH Language - English,SSI Disposed HH Language - Farsi,SSI Disposed HH Language - Korean,SSI Disposed HH Language - Mandarin,SSI Disposed HH Language - Other,SSI Disposed HH Language - Russian,SSI Disposed HH Language - Spanish,SSI Disposed HH Language - Vietnamese," SSI Person Race/Ethnicity - Hispanic"," SSI Person Race/Ethnicity - White"," SSI Person Race/Ethnicity - Asian"," SSI Person Race/Ethnicity - Black or African American"," SSI Person Race/Ethnicity - More Than One Race/Ethnicity"," SSI Person Race/Ethnicity - American Indian or Alaska Native"," SSI Person Race/Ethnicity - Native Hawaiian or Other Pacific Islander"," SSI Person Race/Ethnicity - Other"," SSI Person Race/Ethnicity - Unknown",SSI Persons in New Apps Disposed,SSI-only HHs of 1 added in the month,SSI-only HHs of 2 added in the month,SSI only-HHs of 3+ added in the month,Total SSI-only HHs added in the month,Claim Shelter Deduction - SSI,Claim Standard Medical Deduction - SSI,"Claim Homeless Deduction - SSI "
Kings,December,2014,"23,998","10,259","3,074",,,,,,,,,,11.40%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,December,2014,"11,521","5,826",771,,,,,,,,,,8.80%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,December,2014,"3,155","1,546",186,,,,,,,,,,8.30%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,December,2014,"1,189,576","587,417","231,637",,,,,,,,,,7.20%,8.08%,44.40%,18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera,December,2014,"29,106","11,747","6,793",,,,,,,,,,11.80%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,December,2014,"10,522","6,363","2,353",,,,,,,,,,3.60%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,December,2014,"2,010","1,059",*,,,,,,,,,,9.20%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,December,2014,"13,377","7,239","1,314",,,,,,,,,,6.80%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merced,December,2014,"57,520","24,499","9,129",,,,,,,,,,12.80%,3.25%,0.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,December,2014,"1,040",479,65,,,,,,,,,,10.40%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono,December,2014,841,501,140,,,,,,,,,,6.00%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,December,2014,"50,538","22,492","17,072",,,,,,,,,,11.20%,8.93%,50.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,December,2014,"7,319","3,521","1,765",,,,,,,,,,5.70%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,December,2014,"7,702","4,233",321,,,,,,,,,,5.60%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,December,2014,"254,466","120,429","63,549",,,,,,,,,,4.60%,3.16%,33.30%,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placer,December,2014,"18,593","9,383","1,455",,,,,,,,,,5.30%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,December,2014,"1,988","1,033",74,,,,,,,,,,12.20%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,December,2014,"295,780","127,904","37,485",,,,,,,,,,6.90%,6.82%,14.30%,14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,December,2014,"220,796","104,240","19,584",,,,,,,,,,6.30%,0.00%,57.10%,7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Benito,December,2014,"6,091","2,709",998,,,,,,,,,,8.60%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,December,2014,"399,223","177,248","45,431",,,,,,,,,,6.70%,7.31%,5.90%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,December,2014,"289,321","140,010","34,630",,,,,,,,,,5.40%,0.39%,40.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,December,2014,"51,199","33,153","6,543",,,,,,,,,,3.70%,9.42%,100.00%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Joaquin,December,2014,"120,194","51,788","15,519",,,,,,,,,,9.80%,1.79%,0.00%,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Luis Obispo,December,2014,"18,187","9,747","2,415",,,,,,,,,,5.00%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Mateo,December,2014,"32,162","16,104","7,857",,,,,,,,,,3.50%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Barbara,December,2014,"36,319","16,682","10,707",,,,,,,,,,6.00%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Clara,December,2014,"112,822","55,366","22,248",,,,,,,,,,4.30%,1.83%,25.00%,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Santa Cruz,December,2014,"24,811","13,036","5,295",,,,,,,,,,9.00%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Shasta,December,2014,"24,772","12,844","1,144",,,,,,,,,,8.70%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sierra,December,2014,325,173,*,,,,,,,,,,10.30%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Siskiyou,December,2014,"6,987","3,225",247,,,,,,,,,,11.30%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Solano,December,2014,"43,659","22,458","4,812",,,,,,,,,,6.60%,5.17%,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sonoma,December,2014,"35,579","19,777","6,965",,,,,,,,,,4.90%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanislaus,December,2014,"91,726","42,676","11,707",,,,,,,,,,10.30%,1.42%,25.00%,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sutter,December,2014,"12,981","5,603","1,504",,,,,,,,,,12.10%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tehama,December,2014,"10,381","4,742",930,,,,,,,,,,8.90%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity,December,2014,"1,851","1,007",63,,,,,,,,,,9.30%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tulare,December,2014,"122,765","51,930","19,212",,,,,,,,,,12.70%,3.26%,100.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tuolumne,December,2014,"5,492","3,025",199,,,,,,,,,,7.60%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ventura,December,2014,"73,975","36,204","15,534",,,,,,,,,,6.00%,3.99%,100.00%,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yolo,December,2014,"19,691","9,620","1,963",,,,,,,,,,7.10%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Yuba,December,2014,"13,324","6,038","1,102",,,,,,,,,,10.40%,1.87%,20.00%,10,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Statewide,January,2015,"4,445,534","2,104,221","706,677","$642,082,532",,"4,400,060","45,474",,,"$6,020,181",,,7.20%,7.65%,31.10%,167,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alameda,January,2015,"121,684","61,869","17,853",,,,,,,,,,5.30%,9.31%,100.00%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Alpine,January,2015,171,107,*,,,,,,,,,,6.60%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Amador,January,2015,"3,278","1,720",109,,,,,,,,,,8.00%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Butte,January,2015,"31,299","16,001","1,691",,,,,,,,,,8.50%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Calaveras,January,2015,"5,421","2,894",191,,,,,,,,,,7.40%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colusa,January,2015,"1,627",688,365,,,,,,,,,,23.50%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Contra Costa,January,2015,"72,012","35,445","11,090",,,,,,,,,,5.70%,4.00%,50.00%,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Del Norte,January,2015,"5,136","2,469",248,,,,,,,,,,9.90%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
El Dorado,January,2015,"13,063","7,197",900,,,,,,,,,,6.70%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fresno,January,2015,"227,846","96,715","31,913",,,,,,,,,,12.10%,1.34%,20.00%,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenn,January,2015,"3,684","1,520",504,,,,,,,,,,10.70%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Humboldt,January,2015,"20,309","11,518","1,267",,,,,,,,,,6.70%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Imperial,January,2015,"42,073","16,703","2,162",,,,,,,,,,23.40%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Inyo,January,2015,"2,064","1,042",220,,,,,,,,,,7.00%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kern,January,2015,"149,749","63,893","23,566",,,,,,,,,,11.20%,0.51%,18.20%,11,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kings,January,2015,"24,051","10,270","3,071",,,,,,,,,,12.80%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lake,January,2015,"11,629","5,936",773,,,,,,,,,,9.40%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lassen,January,2015,"3,182","1,545",174,,,,,,,,,,9.30%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Los Angeles,January,2015,"1,185,400","585,716","231,353",,,,,,,,,,7.90%,6.46%,44.00%,25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Madera,January,2015,"29,310","11,878","6,867",,,,,,,,,,12.40%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Marin,January,2015,"10,403","6,300","2,335",,,,,,,,,,4.00%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mariposa,January,2015,"2,033","1,073",47,,,,,,,,,,10.40%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mendocino,January,2015,"13,178","7,131","1,322",,,,,,,,,,7.20%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Merced,January,2015,"57,836","24,649","9,136",,,,,,,,,,14.20%,2.65%,0.00%,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Modoc,January,2015,"1,023",467,65,,,,,,,,,,11.90%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mono,January,2015,849,499,139,,,,,,,,,,5.80%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Monterey,January,2015,"52,560","23,266","17,627",,,,,,,,,,12.50%,6.34%,33.30%,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Napa,January,2015,"7,421","3,575","1,779",,,,,,,,,,5.80%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Nevada,January,2015,"7,705","4,247",318,,,,,,,,,,6.20%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Orange,January,2015,"253,714","120,652","63,391",,,,,,,,,,5.00%,2.90%,25.00%,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Placer,January,2015,"18,407","9,726","1,453",,,,,,,,,,5.80%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Plumas,January,2015,"2,030","1,060",93,,,,,,,,,,14.70%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverside,January,2015,"292,785","126,931","37,235",,,,,,,,,,7.40%,7.49%,15.80%,19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sacramento,January,2015,"219,747","103,939","19,617",,,,,,,,,,6.80%,0.00%,50.00%,8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Benito,January,2015,"6,193","2,731","1,032",,,,,,,,,,9.40%,4.22%,17.60%,17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Bernardino,January,2015,"398,410","177,354","45,386",,,,,,,,,,7.20%,7.80%,9.10%,22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Diego,January,2015,"287,399","139,096","34,622",,,,,,,,,,5.90%,1.06%,46.20%,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
San Francisco,January,2015,"50,987","33,153","6,569",,,,,,,,,,4.10%,9.96%,75.00%,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
